DOMAIN	ACCESSION	Apophysomyces_elegans_B7760	Apophysomyces_ossiformis__NRRL_A-21654	Apophysomyces_sp___BC1015	Apophysomyces_sp___BC1021	Apophysomyces_sp___BC1034	Apophysomyces_trapeziformis_B9324	Apophysomyces_variabilis__NCCPF_102052	Saksenaea_oblongisporus_B3353	Saksenaea_vasiformis_B4078
Kei1	PF08552.11	1	0	0	1	0	1	1	1	1
TAXi_C	PF14541.6	0	0	2	2	2	0	0	0	0
Reprolysin	PF01421.19	1	0	1	1	2	0	0	1	0
ALG3	PF05208.13	2	1	0	0	0	1	1	0	1
SBP_bac_11	PF13531.6	0	0	3	0	3	0	0	0	0
zf-CCHC_3	PF13917.6	1	1	1	1	1	1	0	0	0
7tm_2	PF00002.24	1	1	1	0	1	1	0	0	1
Histone_HNS	PF00816.21	0	0	3	0	3	0	0	0	0
Defensin_2	PF01097.18	0	3	0	0	0	1	2	0	0
DREV	PF05219.12	0	1	1	1	1	1	0	0	1
HTH_31	PF13560.6	0	0	3	0	3	0	0	0	0
RBP_receptor	PF14752.6	1	0	1	0	1	1	0	1	1
ADAM_CR_2	PF17771.1	1	1	1	0	0	1	1	1	0
zf-BED	PF02892.15	0	0	1	1	1	1	1	0	1
BRCA-2_OB1	PF09103.10	0	1	1	1	1	1	1	0	0
HHH_8	PF14716.6	1	0	1	1	1	0	0	1	1
Pet100	PF09803.9	1	0	1	1	1	1	0	0	1
CBP4	PF07960.11	1	0	1	1	1	1	1	0	0
PH_RBD	PF12068.8	1	1	0	1	0	1	1	0	1
YTH	PF04146.15	1	1	0	1	1	1	0	0	1
HTH_Tnp_Tc5	PF03221.16	3	0	0	0	0	2	0	0	1
AAA_35	PF14516.6	2	2	0	0	0	1	0	1	0
FNIP_M	PF14637.6	0	1	1	1	1	0	1	1	0
zf-GRF	PF06839.12	0	1	1	1	1	0	1	1	0
Med25_VWA	PF11265.8	1	1	0	0	0	1	1	1	1
Med13_N	PF11597.8	0	1	0	0	0	1	0	2	2
PIG-H	PF10181.9	1	1	0	0	0	1	1	1	1
LisH_TPL	PF17814.1	1	1	0	0	0	2	0	1	1
Mon1	PF03164.14	1	0	0	0	0	1	1	2	1
RAB3GAP2_N	PF14655.6	1	1	1	1	1	0	1	0	0
DUF2151	PF10221.9	1	1	1	1	1	1	0	0	0
TOM20_plant	PF06552.12	1	1	0	0	0	2	1	1	0
INCENP_ARK-bind	PF03941.15	1	1	1	1	1	0	1	0	0
A_deamin	PF02137.18	1	1	0	1	1	0	1	0	0
NMT1_2	PF13379.6	0	1	1	1	1	1	0	0	0
ANAPC1	PF12859.7	0	1	1	1	1	0	0	0	1
PFOR_II	PF17147.4	0	0	1	1	1	0	0	1	1
RNase_H2_suC	PF08615.11	0	0	1	1	1	0	0	1	1
Rpr2	PF04032.16	0	0	1	1	1	0	1	1	0
Phage_tube	PF04985.14	0	0	3	0	2	0	0	0	0
MUG113	PF13455.6	1	1	0	0	0	1	1	0	1
XLF	PF09302.11	1	1	0	0	0	1	1	0	1
SET_assoc	PF11767.8	0	1	1	1	1	1	0	0	0
HAUS4	PF14735.6	0	1	1	1	1	0	0	0	1
RNase_P_pop3	PF08228.11	1	1	1	0	0	0	1	0	1
Rdx	PF10262.9	1	0	0	1	0	1	0	1	1
KAsynt_C_assoc	PF16197.5	0	0	2	0	3	0	0	0	0
Ctf8	PF09696.10	0	1	1	1	1	0	1	0	0
Barstar	PF01337.18	0	0	1	1	2	0	0	1	0
PMT_2	PF13231.6	1	1	1	0	1	1	0	0	0
RGS-like	PF09128.11	0	0	0	0	0	1	1	3	0
Yippee-Mis18	PF03226.14	1	0	1	1	1	1	0	0	0
Nbl1_Borealin_N	PF10444.9	0	1	1	1	1	0	1	0	0
PG_binding_3	PF09374.10	0	0	2	0	3	0	0	0	0
HAUS6_N	PF14661.6	0	1	1	1	1	0	0	1	0
SRAP	PF02586.14	0	1	1	1	1	1	0	0	0
RT_RNaseH_2	PF17919.1	2	0	0	0	0	1	0	0	2
Collar	PF07484.12	0	0	2	0	3	0	0	0	0
SPC12	PF06645.13	1	0	1	1	0	0	0	1	1
Sulfotransfer_1	PF00685.27	1	1	1	1	1	0	0	0	0
Importin_rep_3	PF18806.1	1	1	1	1	0	0	0	0	1
PTA_PTB	PF01515.19	0	0	3	0	2	0	0	0	0
Guanylate_cyc_2	PF09778.9	0	0	1	1	2	1	0	0	0
DUF962	PF06127.11	1	1	0	0	0	1	1	0	1
HHH	PF00633.23	0	1	0	0	2	0	0	0	2
Chlorophyllase	PF07224.11	1	0	1	1	1	1	0	0	0
FAM178	PF14816.6	1	1	1	1	0	1	0	0	0
PHF5	PF03660.14	0	0	1	1	1	0	1	0	1
Spo7	PF03907.13	1	1	0	0	0	1	0	1	1
Swi5	PF07061.11	0	1	1	1	1	0	1	0	0
Vps55	PF04133.14	1	0	0	1	0	1	0	1	1
CDC24_OB1	PF17246.2	0	0	1	1	1	0	0	1	1
PAC1	PF16094.5	1	1	0	1	0	0	0	1	1
zf-UBP_var	PF17807.1	1	1	1	0	0	0	0	1	1
C12orf66_like	PF09404.10	1	0	1	1	1	0	0	1	0
MethyltransfD12	PF02086.15	0	0	3	0	2	0	0	0	0
CPBP	PF02517.16	1	0	1	1	1	0	0	0	1
PTEN_C2	PF10409.9	0	1	1	1	1	0	0	0	1
Sigma70_r2	PF04542.14	0	0	1	0	4	0	0	0	0
Tau95	PF09734.9	1	1	1	1	0	0	0	0	1
TBPIP	PF07106.13	1	1	0	0	0	1	1	0	1
DUF2358	PF10184.9	1	1	1	1	1	0	0	0	0
CCG	PF02754.16	0	0	2	0	3	0	0	0	0
FtsK_gamma	PF09397.10	0	0	2	0	3	0	0	0	0
Tti2	PF10521.9	1	1	0	0	0	1	1	0	1
MoaE	PF02391.17	1	0	1	0	1	1	0	1	0
DUF2278	PF10042.9	1	1	0	0	0	2	1	0	0
Oxidored-like	PF09791.9	1	0	1	1	1	0	0	0	1
Phage_int_SAM_1	PF02899.17	0	0	2	0	3	0	0	0	0
DUF563	PF04577.14	0	1	1	1	1	0	0	0	1
Yop-YscD_cpl	PF16697.5	1	0	1	1	1	1	0	0	0
UPF0220	PF05255.11	2	0	0	0	0	1	0	1	1
Oxidored_q2	PF00420.24	0	0	2	0	2	0	0	0	1
PRiA4_ORF3	PF07929.11	1	1	0	0	1	1	1	0	0
TP6A_N	PF04406.14	0	0	1	1	1	1	0	0	1
LuxC	PF05893.14	1	1	0	0	0	1	1	0	1
zf-4CXXC_R1	PF10497.9	0	1	1	1	1	0	0	0	1
RT_RNaseH	PF17917.1	2	0	0	0	0	1	0	0	2
HIRA_B	PF09453.10	0	0	1	1	1	0	1	0	1
RRM_occluded	PF16842.5	1	1	1	0	0	1	0	0	1
Mit_KHE1	PF10173.9	1	1	1	1	1	0	0	0	0
MEA1	PF06910.11	0	0	1	1	1	1	1	0	0
FANCL_C	PF11793.8	1	1	1	1	0	0	1	0	0
DASH_Dad4	PF08650.10	0	0	1	1	1	1	0	0	1
WWE	PF02825.20	1	0	0	0	0	0	0	1	3
zinc_ribbon_9	PF14369.6	1	1	0	0	0	1	1	1	0
zf-C4H2	PF10146.9	0	0	1	1	1	1	0	0	1
DNA_pol_B_thumb	PF14791.6	0	1	1	1	1	1	0	0	0
DDRGK	PF09756.9	0	0	1	1	1	0	0	1	1
dUTPase	PF00692.19	1	0	0	0	1	1	0	1	1
TonB_dep_Rec	PF00593.24	0	0	2	0	3	0	0	0	0
Cob_adeno_trans	PF01923.18	0	0	1	1	1	1	1	0	0
Mtr2	PF10429.9	1	1	0	0	0	1	0	1	1
DUF4050	PF13259.6	0	1	0	1	1	1	0	1	0
BIR	PF00653.21	0	1	1	1	1	0	0	0	1
Tctex-1	PF03645.13	1	1	1	0	0	1	1	0	0
UreD	PF01774.17	0	0	1	1	1	0	0	1	1
DUF543	PF04418.12	1	1	0	0	0	1	0	1	1
DUF1751	PF08551.10	1	0	1	0	0	0	1	1	1
GreA_GreB	PF01272.19	0	0	2	0	3	0	0	0	0
VPS53_C	PF16854.5	1	0	1	1	1	1	0	0	0
RQC	PF09382.10	1	0	1	0	0	1	0	1	1
POT1	PF02765.17	1	0	1	1	1	1	0	0	0
PPP4R2	PF09184.11	1	0	1	1	1	0	0	0	1
AT_hook	PF02178.19	1	1	1	0	1	1	0	0	0
DUF2781	PF10914.8	0	0	1	1	1	0	0	1	1
Mrr_cat	PF04471.12	1	0	1	1	1	0	0	1	0
Pet191_N	PF10203.9	0	0	1	1	1	0	1	1	0
Sec20	PF03908.13	1	2	0	0	0	0	0	1	1
P2_Phage_GpR	PF06891.11	0	0	3	0	2	0	0	0	0
Gpi1	PF05024.15	1	0	1	1	1	0	0	1	0
Terminase_5	PF06056.12	0	0	2	0	3	0	0	0	0
Vps36_ESCRT-II	PF11605.8	0	1	0	1	1	1	0	0	1
zf-PHD-like	PF15446.6	0	1	1	1	1	0	1	0	0
DinB_2	PF12867.7	0	0	1	1	1	0	0	1	1
dDENN	PF03455.19	0	0	1	1	1	0	1	0	1
Atg29_N	PF18388.1	0	1	0	1	1	0	1	1	0
GET2	PF08690.10	1	0	0	1	1	1	1	0	0
FG-GAP_2	PF14312.6	0	0	0	0	5	0	0	0	0
MazE_antitoxin	PF04014.18	0	0	2	0	3	0	0	0	0
Apolipoprotein	PF01442.18	5	0	0	0	0	0	0	0	0
DUF1325	PF07039.11	0	1	1	0	1	1	0	0	1
Fapy_DNA_glyco	PF01149.24	1	0	1	0	1	0	0	1	1
PIG-X	PF08320.12	0	0	1	1	1	1	0	0	1
PAPA-1	PF04795.12	0	0	1	1	1	0	0	1	1
Transthyretin	PF00576.21	0	0	1	1	1	0	0	1	1
zf-U1	PF06220.12	0	0	1	1	1	1	0	1	0
Toprim_Crpt	PF13342.6	0	0	2	0	2	0	0	0	0
R3H-assoc	PF13902.6	0	1	1	1	1	0	0	0	0
Sigma54_AID	PF00309.20	0	0	2	0	2	0	0	0	0
TraN	PF06986.11	0	0	2	0	2	0	0	0	0
NT-C2	PF10358.9	0	0	1	1	1	0	0	1	0
HTH_28	PF13518.6	0	0	0	1	0	1	1	1	0
Nucleoporin_FG	PF13634.6	0	0	0	0	0	0	0	3	1
MAPKK1_Int	PF08923.10	0	1	0	0	0	1	1	0	1
Phage_TAC_7	PF10109.9	0	0	2	0	2	0	0	0	0
LYTB	PF02401.18	0	0	2	0	2	0	0	0	0
DASH_Dad3	PF08656.10	1	1	0	0	0	1	1	0	0
DUF4255	PF14065.6	0	0	2	0	2	0	0	0	0
PmbA_TldD	PF01523.16	0	0	2	0	2	0	0	0	0
PBP_dimer	PF03717.15	0	0	1	0	3	0	0	0	0
LINES_N	PF14694.6	1	1	0	0	0	1	1	0	0
FtsK_alpha	PF17854.1	0	0	2	0	2	0	0	0	0
Cyt_bd_oxida_II	PF02322.15	0	0	2	0	2	0	0	0	0
DASH_Dad1	PF08649.10	1	0	0	0	0	1	1	0	1
UvrA_inter	PF17760.1	0	0	2	0	2	0	0	0	0
Sigma54_CBD	PF04963.13	0	0	2	0	2	0	0	0	0
Ins134_P3_kin_N	PF17927.1	1	1	0	0	0	1	1	0	0
MlaC	PF05494.12	0	0	2	0	2	0	0	0	0
PglD_N	PF17836.1	0	0	2	0	2	0	0	0	0
Enkurin	PF13864.6	0	0	1	1	1	1	0	0	0
zf_UBZ	PF18439.1	0	1	1	1	0	0	1	0	0
FTSW_RODA_SPOVE	PF01098.19	0	0	2	0	2	0	0	0	0
SpoU_sub_bind	PF08032.12	0	0	1	1	2	0	0	0	0
HTH_DeoR	PF08220.12	0	0	2	0	2	0	0	0	0
S6PP	PF05116.13	0	0	0	0	0	0	0	2	2
Rep_3	PF01051.21	0	0	2	0	2	0	0	0	0
IclR	PF01614.18	0	0	2	0	2	0	0	0	0
Muraidase	PF11860.8	0	0	2	0	2	0	0	0	0
BetaGal_dom4_5	PF13364.6	1	1	0	0	0	1	1	0	0
Eaf7	PF07904.13	0	1	1	1	1	0	0	0	0
Tail_P2_I	PF09684.10	0	0	2	0	2	0	0	0	0
LptF_LptG	PF03739.14	0	0	2	0	2	0	0	0	0
RPA_interact_N	PF14766.6	0	1	1	1	1	0	0	0	0
Gemini_AL1	PF00799.20	0	0	1	2	1	0	0	0	0
CPT	PF07931.12	1	0	0	0	0	1	0	1	1
DDE_Tnp_1_7	PF13843.6	0	0	1	1	2	0	0	0	0
PIG-P	PF08510.12	1	0	0	0	0	1	0	1	1
COX2_TM	PF02790.15	0	1	0	0	1	0	2	0	0
Aft1_HRA	PF11786.8	1	1	0	0	0	1	1	0	0
TFIIIC_delta	PF12657.7	1	0	0	0	0	1	0	1	1
DUF4148	PF13663.6	0	0	2	0	2	0	0	0	0
FtsK_SpoIIIE	PF01580.18	0	0	2	0	2	0	0	0	0
Lipoprotein_9	PF03180.14	0	0	2	0	2	0	0	0	0
Cyt_bd_oxida_I	PF01654.17	0	0	1	0	3	0	0	0	0
UTRA	PF07702.13	0	0	2	0	2	0	0	0	0
EAL	PF00563.20	0	0	2	0	2	0	0	0	0
CENP-O	PF09496.10	1	1	0	0	0	1	1	0	0
HrpB1_HrpK	PF09613.10	0	0	2	0	2	0	0	0	0
UVR	PF02151.19	0	0	2	0	2	0	0	0	0
UPF1_Zn_bind	PF09416.10	1	0	0	0	0	1	0	1	1
Phage_base_V	PF04717.12	0	0	2	0	2	0	0	0	0
LAMTOR5	PF16672.5	1	0	0	0	0	1	0	1	1
FtsX	PF02687.21	0	0	2	0	2	0	0	0	0
DUF484	PF04340.12	0	0	2	0	2	0	0	0	0
SelR	PF01641.18	0	0	1	0	1	0	0	1	1
DUF1713	PF08213.11	1	0	0	0	0	1	0	1	1
Sigma54_DBD	PF04552.13	0	0	2	0	2	0	0	0	0
HTH_Tnp_Tc3_2	PF01498.18	1	0	0	1	0	1	0	1	0
ATE_N	PF04376.13	1	0	0	0	1	1	0	0	1
Resolvase	PF00239.21	0	0	2	0	2	0	0	0	0
AFT	PF08731.11	0	0	1	1	2	0	0	0	0
SpvB	PF03534.13	0	0	2	0	2	0	0	0	0
INTS2	PF14750.6	0	1	1	0	0	1	0	1	0
CopD	PF05425.13	0	0	2	0	2	0	0	0	0
DUF1674	PF07896.12	0	0	1	1	1	1	0	0	0
PEP-utilizers	PF00391.23	0	0	1	0	2	0	0	1	0
DUF3128	PF11326.8	0	0	1	1	1	0	0	0	1
PKD_channel	PF08016.12	1	1	1	0	0	1	0	0	0
Prok-RING_4	PF14447.6	2	0	0	0	0	2	0	0	0
VMA21	PF09446.10	1	0	1	1	1	0	0	0	0
Acetyltransf_6	PF13480.7	0	0	1	1	1	0	1	0	0
Multi_Drug_Res	PF00893.19	0	0	2	0	2	0	0	0	0
PCB_OB	PF17092.5	0	0	2	0	2	0	0	0	0
BON	PF04972.17	0	0	2	0	2	0	0	0	0
Aim19	PF10315.9	1	1	0	0	0	0	0	1	1
Med27	PF11571.8	0	0	1	1	1	1	0	0	0
MRP-S26	PF14943.6	1	1	0	0	0	1	1	0	0
ATP-synt_J	PF04911.12	1	0	0	0	0	1	0	1	1
BRCC36_C	PF18110.1	1	1	0	0	0	1	1	0	0
DUF5599	PF18141.1	1	0	0	0	0	1	0	1	1
Ima1_N	PF09779.9	1	1	0	1	1	0	0	0	0
DASH_Dam1	PF08653.10	0	0	1	1	1	1	0	0	0
GCN5L1	PF06320.13	1	1	0	0	0	1	0	1	0
PapC_N	PF13954.6	0	0	2	0	2	0	0	0	0
HTH_5	PF01022.20	0	0	2	0	2	0	0	0	0
DeoRC	PF00455.22	0	0	2	0	2	0	0	0	0
GRAB	PF10375.9	1	0	0	0	0	1	0	1	1
MraZ	PF02381.18	0	0	2	0	2	0	0	0	0
Eapp_C	PF10238.9	0	2	0	1	1	0	0	0	0
PIG-Y	PF15159.6	0	1	0	0	0	1	0	1	1
DDE_Tnp_IS66	PF03050.14	0	0	2	0	1	0	0	0	1
Elf1	PF05129.13	1	0	0	0	0	1	0	1	1
PSS	PF03034.15	1	1	0	0	0	0	0	1	1
DUF3175	PF11373.8	1	1	0	0	0	1	1	0	0
SBP_bac_6	PF13343.6	0	0	2	0	2	0	0	0	0
CDC24_OB2	PF17245.2	0	1	1	1	1	0	0	0	0
GPW_gp25	PF04965.14	0	0	1	0	3	0	0	0	0
SBP_bac_1	PF01547.25	0	0	2	0	2	0	0	0	0
Peptidase_S26	PF10502.9	0	0	2	0	2	0	0	0	0
Lactamase_B_4	PF13691.6	1	1	0	0	0	1	0	0	1
GGA_N-GAT	PF18308.1	1	1	0	0	0	0	0	1	1
DUF2514	PF10721.9	2	0	1	0	1	0	0	0	0
Lectin_legB	PF00139.19	1	2	0	0	0	0	0	1	0
N-SET	PF11764.8	1	0	0	0	0	0	1	1	1
Pyridox_ox_2	PF12900.7	1	1	0	0	0	1	1	0	0
PhoU	PF01895.19	0	0	2	0	2	0	0	0	0
SWI2_SNF2	PF18766.1	0	1	1	1	1	0	0	0	0
HU-HIG	PF18291.1	0	0	2	0	2	0	0	0	0
MeaB	PF03308.16	1	1	0	0	0	1	0	1	0
ACT_4	PF13291.6	0	0	2	0	2	0	0	0	0
Lsm_interact	PF05391.11	0	0	1	1	1	0	0	0	1
Transgly	PF00912.22	0	0	2	0	2	0	0	0	0
Acyl-ACP_TE	PF01643.17	1	0	0	1	0	0	0	1	1
Calpain_III	PF01067.22	0	0	0	0	1	0	1	1	1
RibD_C	PF01872.17	1	1	0	0	1	0	1	0	0
LacY_symp	PF01306.19	0	1	1	1	1	0	0	0	0
Nucleoporin_FG2	PF15967.5	0	0	1	1	1	0	0	1	0
IF2_N	PF04760.15	0	0	2	0	2	0	0	0	0
Stk19	PF10494.9	0	0	0	0	0	0	1	1	2
PapC_C	PF13953.6	0	0	2	0	2	0	0	0	0
FUR	PF01475.19	0	0	2	0	2	0	0	0	0
YdaS_antitoxin	PF15943.5	0	0	2	0	2	0	0	0	0
Stc1	PF12898.7	0	0	1	1	1	0	0	1	0
Cdh1_DBD_1	PF18196.1	1	0	0	0	0	1	1	1	0
MttA_Hcf106	PF02416.16	0	0	2	0	2	0	0	0	0
SPOR	PF05036.13	0	0	2	0	2	0	0	0	0
zf-C3HC4_4	PF15227.6	0	0	1	1	1	0	0	0	1
Wzy_C	PF04932.15	0	0	2	0	2	0	0	0	0
DAP_epimerase	PF01678.19	0	0	2	0	2	0	0	0	0
2HCT	PF03390.15	0	0	2	0	2	0	0	0	0
Mur_ligase	PF01225.25	0	0	2	0	2	0	0	0	0
DNA_ligase_IV	PF11411.8	1	0	0	0	0	1	1	1	0
Pep_M12B_propep	PF01562.19	0	0	1	0	1	1	0	0	1
NusB	PF01029.18	0	0	2	0	2	0	0	0	0
HTH_24	PF13412.6	0	0	2	0	2	0	0	0	0
Peptidase_S11	PF00768.20	0	0	2	0	2	0	0	0	0
Toprim_2	PF13155.6	0	0	2	0	2	0	0	0	0
Thioredoxin_9	PF14595.6	1	0	0	0	0	1	1	1	0
VRP1	PF03538.14	0	0	2	0	2	0	0	0	0
tRNA_lig_kinase	PF08303.11	1	1	0	0	0	1	0	0	1
Terminase_6	PF03237.15	0	0	2	0	2	0	0	0	0
SBP_bac_8	PF13416.6	0	0	2	0	2	0	0	0	0
APOBEC_N	PF08210.11	1	1	0	0	0	1	1	0	0
dCMP_cyt_deam_2	PF08211.12	1	0	0	0	0	1	0	1	1
HTH_7	PF02796.15	0	0	1	0	3	0	0	0	0
CSTF1_dimer	PF16699.5	0	0	1	1	1	0	0	1	0
DUF29	PF01724.16	0	0	2	0	2	0	0	0	0
Sigma70_r4_2	PF08281.12	0	0	2	0	1	0	1	0	0
PemK_toxin	PF02452.17	0	0	2	0	2	0	0	0	0
ER	PF01133.17	0	1	0	0	0	0	1	1	1
PPDK_N	PF01326.19	0	0	2	0	1	0	0	1	0
SmpA_OmlA	PF04355.13	0	0	2	0	2	0	0	0	0
DUF86	PF01934.17	0	0	2	0	2	0	0	0	0
Phage_GPO	PF05929.11	0	0	2	0	2	0	0	0	0
Romo1	PF10247.9	1	0	1	1	1	0	0	0	0
PaaA_PaaC	PF05138.12	0	0	2	0	2	0	0	0	0
ETX_MTX2	PF03318.13	1	1	0	0	0	1	1	0	0
ThiI	PF02568.14	0	0	2	1	0	0	0	0	1
PapD_N	PF00345.20	0	0	2	0	2	0	0	0	0
DUF1761	PF08570.10	1	1	0	0	0	1	1	0	0
Plug	PF07715.15	0	0	2	0	2	0	0	0	0
Shufflon_N	PF04917.12	0	0	2	0	2	0	0	0	0
DUF1087	PF06465.13	0	0	0	0	0	1	1	1	1
uDENN	PF03456.18	0	0	1	1	1	0	0	0	1
CoA_binding_3	PF13727.6	0	0	2	0	2	0	0	0	0
CHD5	PF04420.14	0	1	0	0	0	1	0	1	1
PAS_8	PF13188.7	0	0	2	0	2	0	0	0	0
PdxA	PF04166.12	0	0	1	0	2	0	0	0	0
Acetyltransf_CG	PF14542.6	1	1	0	0	0	0	1	0	0
Polysacc_synt	PF01943.17	0	0	1	0	2	0	0	0	0
ExbD	PF02472.16	0	0	1	0	2	0	0	0	0
SBD_N	PF07005.11	0	0	1	0	2	0	0	0	0
TBCC_N	PF16752.5	0	0	1	1	1	0	0	0	0
DEDD_Tnp_IS110	PF01548.17	0	0	2	0	1	0	0	0	0
DGCR6	PF07324.11	0	1	0	0	0	1	1	0	0
Importin_rep	PF18773.1	0	1	0	0	0	0	0	1	1
Aerolysin	PF01117.20	1	1	0	0	0	0	1	0	0
Ribonuclease_P	PF00825.18	1	0	0	0	0	1	1	0	0
GT87	PF09594.10	0	1	0	0	0	0	0	1	1
Phage_term_smal	PF05944.12	0	0	1	0	2	0	0	0	0
DPM3	PF08285.11	1	0	0	0	0	0	0	1	1
ParD_antitoxin	PF03693.14	0	0	2	0	1	0	0	0	0
UEV	PF05743.13	0	0	1	0	1	1	0	0	0
NfeD	PF01957.18	0	0	1	0	2	0	0	0	0
Val_tRNA-synt_C	PF10458.9	0	0	0	0	1	0	0	1	1
TBCC	PF07986.12	0	0	1	1	1	0	0	0	0
zf-C3HC4_5	PF17121.5	1	1	0	0	0	1	0	0	0
IMS_HHH	PF11798.8	0	0	1	0	1	0	0	0	1
POT1PC	PF16686.5	1	1	0	0	0	0	0	1	0
Phage_cap_P2	PF05125.12	0	0	1	0	2	0	0	0	0
MRP-S34	PF16053.5	0	0	1	1	0	0	0	1	0
GlutR_N	PF05201.15	0	0	2	0	1	0	0	0	0
CENP-W	PF15510.6	1	1	0	0	0	0	0	1	0
CorC_HlyC	PF03471.17	0	0	1	0	2	0	0	0	0
Dicty_CAR	PF05462.11	0	0	1	1	1	0	0	0	0
Med9	PF07544.13	1	1	0	0	0	1	0	0	0
PLDc_N	PF13396.6	0	0	0	0	1	0	0	1	1
Lipoprotein_18	PF06804.11	0	0	1	0	2	0	0	0	0
Phage_spike	PF18715.1	0	0	2	0	1	0	0	0	0
TcdB_toxin_midC	PF12255.8	0	0	1	0	2	0	0	0	0
INTS5_C	PF14838.6	0	0	1	1	1	0	0	0	0
TMEM208_SND2	PF05620.11	1	1	0	0	0	1	0	0	0
KdpD	PF02702.17	0	0	2	0	1	0	0	0	0
HHH_6	PF14579.6	0	0	1	0	2	0	0	0	0
GreA_GreB_N	PF03449.15	0	0	1	0	2	0	0	0	0
MMADHC	PF10229.9	1	1	0	0	0	1	0	0	0
DUF4537	PF15057.6	0	0	1	1	1	0	0	0	0
NBD_C	PF17042.5	0	0	1	0	2	0	0	0	0
Ost5	PF05251.12	0	0	0	0	0	1	0	1	1
RecX	PF02631.16	0	0	2	0	1	0	0	0	0
GPI2	PF06432.11	1	0	0	0	0	1	0	0	1
DUF836	PF05768.14	0	0	0	1	1	0	0	1	0
TMEM18	PF14770.6	0	0	0	1	1	0	0	1	0
Phage_GPA	PF05840.13	1	0	1	0	1	0	0	0	0
SRR1	PF07985.12	1	0	1	1	0	0	0	0	0
Cornifin	PF02389.15	0	0	0	0	0	0	0	2	1
YadA_anchor	PF03895.15	0	0	1	0	2	0	0	0	0
Peripla_BP_2	PF01497.18	0	0	1	0	2	0	0	0	0
DUF87	PF01935.17	0	0	2	0	1	0	0	0	0
NB-ARC	PF00931.22	0	0	0	0	0	0	1	1	1
PH_11	PF15413.6	1	0	0	0	0	1	0	0	1
MADF_DNA_bdg	PF10545.9	0	0	1	1	1	0	0	0	0
Polbeta	PF18765.1	0	0	2	0	1	0	0	0	0
PqiA	PF04403.13	0	0	1	0	2	0	0	0	0
Molydop_binding	PF01568.21	0	0	1	0	2	0	0	0	0
Astacin	PF01400.24	1	0	0	0	0	1	1	0	0
PIN_3	PF13470.6	0	0	1	0	2	0	0	0	0
Glucokinase	PF02685.16	0	0	2	0	1	0	0	0	0
Polysacc_synt_3	PF13440.6	0	0	1	0	2	0	0	0	0
PDCD7	PF16021.5	0	1	0	0	0	0	1	0	1
HMMR_N	PF15905.5	0	0	1	1	1	0	0	0	0
PIG-F	PF06699.11	0	0	1	1	1	0	0	0	0
Myb_DNA-bind_4	PF13837.6	0	0	1	1	1	0	0	0	0
API5	PF05918.11	0	0	1	1	1	0	0	0	0
Mannosyl_trans2	PF04188.13	0	0	1	1	1	0	0	0	0
DUF802	PF05650.11	0	0	1	0	2	0	0	0	0
BLOC1_2	PF10046.9	0	0	1	1	1	0	0	0	0
YfiO	PF13525.6	0	0	2	0	1	0	0	0	0
SurA_N_3	PF13624.6	0	0	1	0	2	0	0	0	0
PDH_E1_M	PF17831.1	0	0	2	0	1	0	0	0	0
Gemin6	PF06372.12	0	1	1	1	0	0	0	0	0
MarC	PF01914.17	0	0	1	0	2	0	0	0	0
DUF883	PF05957.13	0	0	1	0	2	0	0	0	0
Sec_GG	PF07549.14	0	0	1	0	2	0	0	0	0
FANCI_S3	PF14677.6	0	0	0	0	0	1	1	1	0
LUD_dom	PF02589.15	0	0	1	0	2	0	0	0	0
LPG_synthase_TM	PF03706.13	0	0	1	0	2	0	0	0	0
SBP_bac_5	PF00496.22	0	0	1	0	2	0	0	0	0
SF3b10	PF07189.11	0	0	0	0	0	1	0	1	1
Toprim_4	PF13662.6	0	0	1	0	2	0	0	0	0
ParD	PF09386.10	0	0	1	0	2	0	0	0	0
FtsA	PF14450.6	0	0	0	0	3	0	0	0	0
Tautomerase	PF01361.21	0	0	1	1	1	0	0	0	0
XG_FTase	PF03254.13	0	0	1	1	1	0	0	0	0
Phage_portal	PF04860.12	0	0	1	0	2	0	0	0	0
NodS	PF05401.11	0	0	0	0	0	1	0	1	1
Peripla_BP_5	PF13433.6	0	0	1	0	2	0	0	0	0
ADIP	PF11559.8	0	0	0	1	1	0	1	0	0
MCD_N	PF17408.2	0	1	0	0	0	0	0	1	1
DUF1647	PF07801.11	0	1	0	0	0	0	0	1	1
zf-CRD	PF17979.1	0	0	0	1	1	0	0	0	1
DUF900	PF05990.12	2	0	0	0	0	0	0	0	1
MmgE_PrpD	PF03972.14	0	0	2	0	1	0	0	0	0
MacB_PCD	PF12704.7	0	0	1	0	2	0	0	0	0
Glyco_transf_9	PF01075.17	0	0	1	0	2	0	0	0	0
COX1	PF00115.20	0	0	0	0	1	2	0	0	0
Macro	PF01661.21	1	0	0	0	0	0	0	1	1
OpuAC	PF04069.12	0	0	1	0	2	0	0	0	0
PBP_like	PF12727.7	0	0	1	0	2	0	0	0	0
NCU-G1	PF15065.6	1	1	0	0	0	0	1	0	0
ABC_tran_CTD	PF16326.5	0	0	1	0	2	0	0	0	0
zf-CCHC_4	PF14392.6	0	0	1	1	1	0	0	0	0
MYEOV2	PF15004.6	1	1	0	0	0	0	1	0	0
BPD_transp_2	PF02653.16	0	0	1	0	2	0	0	0	0
DUF772	PF05598.11	0	0	2	0	1	0	0	0	0
